"","x","y","region","id","hemisphere"
"600",95.5,181.5,"pca",88,"left"
"601",98.5,189.5,"pca",89,"left"
"602",98.5,185.5,"pca",90,"left"
"603",94.5,173.5,"pca",91,"left"
"604",92.5,168,"pca",92,"left"
"605",87.5,157.5,"pca",93,"left"
"606",82,153,"pca",94,"left"
"607",75,153.5,"pca",95,"left"
"608",70.5,154.5,"pca",96,"left"
"609",63.5,158,"pca",97,"left"
"610",63,160.5,"pca",98,"left"
"611",57.5,167,"pca",99,"left"
"612",56,169.5,"pca",100,"left"
"613",54,169.5,"pca",101,"left"
"614",52.5,167,"pca",102,"left"
"615",52.5,163,"pca",103,"left"
"616",54.5,161,"pca",104,"left"
"617",57,158.5,"pca",105,"left"
"618",64,154,"pca",106,"left"
"619",72,151.5,"pca",107,"left"
"620",76.5,148,"pca",108,"left"
"621",77.5,144.5,"pca",109,"left"
"622",73.5,139,"pca",110,"left"
"623",70,135,"pca",111,"left"
"624",65.5,130.5,"pca",112,"left"
"625",60,129.5,"pca",113,"left"
"626",56,131,"pca",114,"left"
"627",49.5,136,"pca",115,"left"
"628",46,138,"pca",116,"left"
"629",54.5,135,"pca",117,"left"
"630",58,130.5,"pca",118,"left"
"631",59,126,"pca",119,"left"
"632",57.5,122.5,"pca",120,"left"
"633",47,121.5,"pca",121,"left"
"634",39,125.5,"pca",122,"left"
"635",34,130,"pca",123,"left"
"636",25,139.5,"pca",124,"left"
"637",23.5,148.5,"pca",125,"left"
"638",27.5,159,"pca",126,"left"
"639",32.5,170.5,"pca",127,"left"
"640",36,181,"pca",128,"left"
